Date              	ReadingDiff	Alert	Score	P-Value
16.10.2018 15:04:24	973,1295	0,00	-1190,00	0,50
17.10.2018 11:00:29	745,2843	0,00	-1261,63	0,00
18.10.2018 11:00:27	836,0000	0,00	-889,75	0,00
19.10.2018 11:03:24	574,8025	0,00	-875,23	0,17
20.10.2018 11:03:20	666,0000	0,00	-602,42	0,03
21.10.2018 11:02:19	1370,9520	0,00	170,72	0,00
22.10.2018 11:00:14	1162,6150	0,00	-69,30	0,15
23.10.2018 11:00:12	1076,0000	0,00	-216,19	0,26
24.10.2018 11:01:15	876,3914	0,00	-451,92	0,41
25.10.2018 11:03:15	1083,4950	0,00	-221,58	0,29
26.10.2018 11:02:11	1465,0170	0,00	188,83	0,13
27.10.2018 11:00:09	786,0918	0,00	-528,69	0,47
28.10.2018 11:00:11	1149,0000	0,00	-190,18	0,33
29.10.2018 11:01:09	1037,2800	0,00	-293,62	0,40
30.10.2018 11:03:10	1027,5730	0,00	-263,71	0,39
31.10.2018 11:02:15	1134,7880	0,00	-117,68	0,31
01.11.2018 11:00:07	1557,1630	0,00	297,84	0,11
02.11.2018 11:00:14	1236,0000	0,00	-108,86	0,35
03.11.2018 11:01:10	840,4164	0,00	-621,43	0,33
04.11.2018 12:02:32	1348,8610	0,00	-130,51	0,35
05.11.2018 12:00:33	828,1502	0,00	-568,24	0,35
06.11.2018 12:00:36	1089,0000	0,00	-168,66	0,37
07.11.2018 12:01:43	870,3956	0,00	-281,46	0,46
08.11.2018 12:03:46	1181,3590	0,00	98,31	0,21
09.11.2018 12:02:39	1064,7390	0,00	-15,29	0,29
10.11.2018 12:00:32	1012,4060	0,00	-131,03	0,38
11.11.2018 12:00:32	1143,0000	0,00	-55,66	0,33
12.11.2018 12:01:31	1443,9970	0,00	227,01	0,16
13.11.2018 12:03:35	1399,0570	0,00	143,96	0,22
14.11.2018 12:02:36	829,5761	0,00	-493,46	0,33
15.11.2018 12:00:33	1031,4320	0,00	-295,05	0,47
16.11.2018 12:00:34	1131,0000	0,00	-138,40	0,42
17.11.2018 12:01:38	899,3754	0,00	-316,25	0,40
18.11.2018 12:03:44	1639,7230	1,00	466,69	0,04
19.11.2018 12:02:39	961,6678	0,00	-236,90	0,42
20.11.2018 12:00:44	1537,1350	0,00	290,28	0,12
21.11.2018 12:00:40	1281,0000	0,00	-39,38	0,38
22.11.2018 12:01:38	1597,8900	0,00	236,56	0,16
23.11.2018 12:03:35	1681,6640	0,00	307,66	0,14
24.11.2018 12:02:31	766,5323	0,00	-654,83	0,08
25.11.2018 12:00:39	630,8762	0,00	-775,45	0,05
26.11.2018 12:00:38	1752,0000	0,00	463,71	0,08
27.11.2018 12:01:38	1151,2010	0,00	-78,37	0,47
28.11.2018 12:03:39	609,1539	0,00	-633,46	0,13
29.11.2018 12:02:44	823,5719	0,00	-425,46	0,26
30.11.2018 12:00:45	1102,5310	0,00	-91,05	0,48
01.12.2018 12:00:38	1209,0000	0,00	59,11	0,36
02.12.2018 12:01:43	1499,9580	0,00	324,71	0,17
03.12.2018 12:03:33	1475,9500	0,00	229,40	0,24
04.12.2018 12:02:26	1770,2290	0,00	434,57	0,13
05.12.2018 12:17:32	980,7835	0,00	-452,99	0,22
08.12.2018 12:03:15	1059,7680	0,00	-384,04	0,26
09.12.2018 12:02:22	928,6449	0,00	-434,36	0,23
10.12.2018 12:00:21	1745,4240	0,00	476,11	0,13
