Date              	ReadingDiff	SrCNNAlert	Score	P-Value
16.10.2018 15:04:24	973,1295	0,00	0,00	0,00
17.10.2018 11:00:29	745,2843	0,00	0,00	0,00
18.10.2018 11:00:27	836,0000	0,00	0,00	0,00
19.10.2018 11:03:24	574,8025	0,00	0,00	0,00
20.10.2018 11:03:20	666,0000	0,00	0,00	0,00
21.10.2018 11:02:19	1370,9520	0,00	0,00	0,00
22.10.2018 11:00:14	1162,6150	0,00	0,00	0,00
23.10.2018 11:00:12	1076,0000	0,00	0,00	0,00
24.10.2018 11:01:15	876,3914	0,00	0,00	0,00
25.10.2018 11:03:15	1083,4950	0,00	0,00	0,00
26.10.2018 11:02:11	1465,0170	0,00	0,00	0,00
27.10.2018 11:00:09	786,0918	0,00	0,00	0,00
28.10.2018 11:00:11	1149,0000	0,00	0,00	0,00
29.10.2018 11:01:09	1037,2800	0,00	0,00	0,00
30.10.2018 11:03:10	1027,5730	0,00	0,00	0,00
31.10.2018 11:02:15	1134,7880	0,00	0,00	0,00
01.11.2018 11:00:07	1557,1630	0,00	0,00	0,00
02.11.2018 11:00:14	1236,0000	0,00	0,00	0,00
03.11.2018 11:01:10	840,4164	0,00	0,00	0,00
04.11.2018 12:02:32	1348,8610	0,00	0,00	0,00
05.11.2018 12:00:33	828,1502	0,00	0,00	0,00
06.11.2018 12:00:36	1089,0000	0,00	0,00	0,00
07.11.2018 12:01:43	870,3956	0,00	0,00	0,00
08.11.2018 12:03:46	1181,3590	0,00	0,00	0,00
09.11.2018 12:02:39	1064,7390	0,00	0,00	0,00
10.11.2018 12:00:32	1012,4060	0,00	0,00	0,00
11.11.2018 12:00:32	1143,0000	0,00	0,00	0,00
12.11.2018 12:01:31	1443,9970	0,00	0,00	0,00
13.11.2018 12:03:35	1399,0570	0,00	0,00	0,00
14.11.2018 12:02:36	829,5761	0,00	0,08	0,35
15.11.2018 12:00:33	1031,4320	0,00	0,13	0,36
16.11.2018 12:00:34	1131,0000	0,00	0,06	0,07
17.11.2018 12:01:38	899,3754	0,00	0,05	0,20
18.11.2018 12:03:44	1639,7230	0,00	0,22	0,53
19.11.2018 12:02:39	961,6678	0,00	0,18	0,45
20.11.2018 12:00:44	1537,1350	0,00	0,16	0,44
21.11.2018 12:00:40	1281,0000	0,00	0,01	0,16
22.11.2018 12:01:38	1597,8900	0,00	0,12	0,40
23.11.2018 12:03:35	1681,6640	0,00	0,03	0,09
24.11.2018 12:02:31	766,5323	0,00	0,12	0,41
25.11.2018 12:00:39	630,8762	0,00	0,04	0,22
26.11.2018 12:00:38	1752,0000	1,00	0,31	0,61
27.11.2018 12:01:38	1151,2010	0,00	0,18	0,29
28.11.2018 12:03:39	609,1539	0,00	0,03	0,30
29.11.2018 12:02:44	823,5719	0,00	0,06	0,22
30.11.2018 12:00:45	1102,5310	0,00	0,02	0,21
01.12.2018 12:00:38	1209,0000	0,00	0,01	0,14
02.12.2018 12:01:43	1499,9580	0,00	0,01	0,23
03.12.2018 12:03:33	1475,9500	0,00	0,02	0,16
04.12.2018 12:02:26	1770,2290	0,00	0,06	0,32
05.12.2018 12:17:32	980,7835	0,00	0,10	0,34
08.12.2018 12:03:15	1059,7680	0,00	0,04	0,26
09.12.2018 12:02:22	928,6449	0,00	0,03	0,13
10.12.2018 12:00:21	1745,4240	0,00	0,11	0,37
11.12.2018 12:00:24	1002,0000	0,00	0,17	0,43
12.12.2018 12:18:31	1070,6170	0,00	0,02	0,18
13.12.2018 12:03:23	1527,9160	0,00	0,04	0,22
14.12.2018 12:02:32	1020,7090	0,00	0,01	0,19
15.12.2018 12:00:33	1022,4200	0,00	0,08	0,03
16.12.2018 12:00:36	1474,0000	0,00	0,07	0,30
17.12.2018 18:38:56	1656,2350	0,00	0,02	0,14
18.12.2018 12:03:34	1482,7180	0,00	0,04	0,08
19.12.2018 12:02:38	1038,7210	0,00	0,04	0,10
20.12.2018 12:00:38	1526,1200	0,00	0,15	0,40
21.12.2018 12:00:42	1385,0000	0,00	0,00	0,16
22.12.2018 12:01:46	1784,7610	0,00	0,05	0,27
23.12.2018 12:03:51	4324,9930	1,00	0,48	0,98
24.12.2018 12:02:48	2374,6490	1,00	0,35	0,36
25.12.2018 12:00:52	1902,6430	0,00	0,01	0,14
26.12.2018 12:01:00	1529,9380	0,00	0,01	0,14
27.12.2018 12:02:04	1527,9390	0,00	0,04	0,21
28.12.2018 12:03:56	1951,6450	0,00	0,08	0,03
29.12.2018 12:02:49	1654,1490	0,00	0,05	0,09
30.12.2018 12:00:48	2038,8320	0,00	0,04	0,21
31.12.2018 12:00:50	1877,0000	0,00	0,08	0,03
01.01.2019 12:01:50	2537,2380	0,00	0,15	0,35
02.01.2019 12:03:53	2718,2250	0,00	0,05	0,07
03.01.2019 12:02:54	2213,5370	0,00	0,04	0,08
04.01.2019 12:00:54	1970,7370	0,00	0,06	0,06
05.01.2019 12:00:52	1413,0000	0,00	0,07	0,04
06.01.2019 12:01:40	1036,2800	0,00	0,03	0,09
07.01.2019 12:03:34	1497,9200	0,00	0,01	0,14
08.01.2019 12:02:30	1283,8920	0,00	0,00	0,13
09.01.2019 12:00:34	1205,6750	0,00	0,02	0,12
10.01.2019 12:00:39	1625,0000	0,00	0,02	0,13
11.01.2019 12:01:38	1632,8660	0,00	0,09	0,01
12.01.2019 12:03:48	1034,5630	0,00	0,05	0,20
13.01.2019 12:02:50	936,6505	0,00	0,03	0,07
14.01.2019 12:00:51	1684,3390	0,00	0,17	0,30
15.01.2019 12:00:56	1260,0000	0,00	0,14	0,25
